#Event  L(segment)  X(mm)  Z(mm)  T(us) 
0 6 0.075000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
1 6 0.080000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
2 6 0.085000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
3 6 0.090000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
4 6 0.095000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
5 6 0.100000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
6 6 0.105000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
7 6 0.110000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
8 6 0.115000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
9 6 0.120000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
10 6 0.125000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
11 6 0.130000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
0 6 0.075000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
1 6 0.080000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
2 6 0.085000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
3 6 0.090000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
4 6 0.095000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
5 6 0.100000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
6 6 0.105000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
7 6 0.110000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
8 6 0.115000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
9 6 0.120000 0.100000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
10 6 0.125000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
11 6 0.130000 0.100000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
0 6 0.075000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
1 6 0.080000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
2 6 0.085000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
3 6 0.090000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
4 6 0.095000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
5 6 0.100000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
6 6 0.105000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
7 6 0.110000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
8 6 0.115000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
9 6 0.120000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
10 6 0.125000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
11 6 0.130000 1.595000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
12 6 0.075000 1.590000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
13 6 0.080000 1.590000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
14 6 0.085000 1.590000 0.062000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
15 6 0.090000 1.590000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
16 6 0.095000 1.590000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
17 6 0.100000 1.590000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
18 6 0.105000 1.590000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
19 6 0.110000 1.590000 0.061000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
