#Event  L(segment)  X(mm)  Z(mm)  T(us) 
589 9 0.080000 1.350000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
590 9 0.085000 1.350000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
591 9 0.090000 1.350000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
592 9 0.095000 1.350000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
593 9 0.100000 1.350000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
594 9 0.105000 1.350000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
595 9 0.110000 1.350000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
596 9 0.115000 1.350000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
597 9 0.120000 1.350000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
598 9 0.125000 1.350000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
599 9 0.130000 1.350000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
600 9 0.075000 1.345000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
601 9 0.080000 1.345000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
602 9 0.085000 1.345000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
603 9 0.090000 1.345000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
604 9 0.095000 1.345000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
605 9 0.100000 1.345000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
606 9 0.105000 1.345000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
607 9 0.110000 1.345000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
608 9 0.115000 1.345000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
609 9 0.120000 1.345000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
610 9 0.125000 1.345000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
611 9 0.130000 1.345000 0.073000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
612 9 0.075000 1.340000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
613 9 0.080000 1.340000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
614 9 0.085000 1.340000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
615 9 0.090000 1.340000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
616 9 0.095000 1.340000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
617 9 0.100000 1.340000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
618 9 0.105000 1.340000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
619 9 0.110000 1.340000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
620 9 0.115000 1.340000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
621 9 0.120000 1.340000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
622 9 0.125000 1.340000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
623 9 0.130000 1.340000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
624 9 0.075000 1.335000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
625 9 0.080000 1.335000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
626 9 0.085000 1.335000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
627 9 0.090000 1.335000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
628 9 0.095000 1.335000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
629 9 0.100000 1.335000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
630 9 0.105000 1.335000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
631 9 0.110000 1.335000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
632 9 0.115000 1.335000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
633 9 0.120000 1.335000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
634 9 0.125000 1.335000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
635 9 0.130000 1.335000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
636 9 0.075000 1.330000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
637 9 0.080000 1.330000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
638 9 0.085000 1.330000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
639 9 0.090000 1.330000 0.071000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
640 9 0.095000 1.330000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
641 9 0.100000 1.330000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
642 9 0.105000 1.330000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
643 9 0.110000 1.330000 0.071000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
644 9 0.115000 1.330000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
645 9 0.120000 1.330000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
646 9 0.125000 1.330000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
647 9 0.130000 1.330000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
648 9 0.075000 1.325000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
649 9 0.080000 1.325000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
650 9 0.085000 1.325000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
651 9 0.090000 1.325000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
652 9 0.095000 1.325000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
653 9 0.100000 1.325000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
654 9 0.105000 1.325000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
655 9 0.110000 1.325000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
656 9 0.115000 1.325000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
657 9 0.120000 1.325000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
658 9 0.125000 1.325000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
659 9 0.130000 1.325000 0.072000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
660 9 0.075000 1.320000 0.071000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
661 9 0.080000 1.320000 0.071000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
662 9 0.085000 1.320000 0.071000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
663 9 0.090000 1.320000 0.071000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
664 9 0.095000 1.320000 0.071000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
665 9 0.100000 1.320000 0.071000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
666 9 0.105000 1.320000 0.071000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
667 9 0.110000 1.320000 0.071000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
668 9 0.115000 1.320000 0.071000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
669 9 0.120000 1.320000 0.071000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
670 9 0.125000 1.320000 0.071000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
671 9 0.130000 1.320000 0.071000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
672 9 0.075000 1.315000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
673 9 0.080000 1.315000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
674 9 0.085000 1.315000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
675 9 0.090000 1.315000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
676 9 0.095000 1.315000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
677 9 0.100000 1.315000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
678 9 0.105000 1.315000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
679 9 0.110000 1.315000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
680 9 0.115000 1.315000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
681 9 0.120000 1.315000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
682 9 0.125000 1.315000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
683 9 0.130000 1.315000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
684 9 0.075000 1.310000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
685 9 0.080000 1.310000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
686 9 0.085000 1.310000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
687 9 0.090000 1.310000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
688 9 0.095000 1.310000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
689 9 0.100000 1.310000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
690 9 0.105000 1.310000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
691 9 0.110000 1.310000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
692 9 0.115000 1.310000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
693 9 0.120000 1.310000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
694 9 0.125000 1.310000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
695 9 0.130000 1.310000 0.070000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
696 9 0.075000 1.305000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
697 9 0.080000 1.305000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
698 9 0.085000 1.305000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
699 9 0.090000 1.305000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
700 9 0.095000 1.305000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
701 9 0.100000 1.305000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
702 9 0.105000 1.305000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
703 9 0.110000 1.305000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
704 9 0.115000 1.305000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
705 9 0.120000 1.305000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
706 9 0.125000 1.305000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
707 9 0.130000 1.305000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
708 9 0.075000 1.300000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
709 9 0.080000 1.300000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
710 9 0.085000 1.300000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
711 9 0.090000 1.300000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
712 9 0.095000 1.300000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
713 9 0.100000 1.300000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
714 9 0.105000 1.300000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
715 9 0.110000 1.300000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
716 9 0.115000 1.300000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
717 9 0.120000 1.300000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
718 9 0.125000 1.300000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
719 9 0.130000 1.300000 0.069000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
720 9 0.075000 1.295000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
721 9 0.080000 1.295000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
722 9 0.085000 1.295000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
723 9 0.090000 1.295000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
724 9 0.095000 1.295000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
725 9 0.100000 1.295000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
726 9 0.105000 1.295000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
727 9 0.110000 1.295000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
728 9 0.115000 1.295000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
729 9 0.120000 1.295000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
730 9 0.125000 1.295000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
731 9 0.130000 1.295000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
732 9 0.075000 1.290000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
733 9 0.080000 1.290000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
734 9 0.085000 1.290000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
735 9 0.090000 1.290000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
736 9 0.095000 1.290000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
737 9 0.100000 1.290000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
738 9 0.105000 1.290000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
739 9 0.110000 1.290000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
740 9 0.115000 1.290000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
741 9 0.120000 1.290000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
742 9 0.125000 1.290000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
743 9 0.130000 1.290000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
744 9 0.075000 1.285000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
745 9 0.080000 1.285000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
746 9 0.085000 1.285000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
747 9 0.090000 1.285000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
748 9 0.095000 1.285000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
749 9 0.100000 1.285000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
750 9 0.105000 1.285000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
751 9 0.110000 1.285000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
752 9 0.115000 1.285000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
753 9 0.120000 1.285000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
754 9 0.125000 1.285000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
755 9 0.130000 1.285000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
756 9 0.075000 1.280000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
757 9 0.080000 1.280000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
758 9 0.085000 1.280000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
759 9 0.090000 1.280000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
760 9 0.095000 1.280000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
761 9 0.100000 1.280000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
762 9 0.105000 1.280000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
763 9 0.110000 1.280000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
764 9 0.115000 1.280000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
765 9 0.120000 1.280000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
766 9 0.125000 1.280000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
767 9 0.130000 1.280000 0.068000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
768 9 0.075000 1.275000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
769 9 0.080000 1.275000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
770 9 0.085000 1.275000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
771 9 0.090000 1.275000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
772 9 0.095000 1.275000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
773 9 0.100000 1.275000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
774 9 0.105000 1.275000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
775 9 0.110000 1.275000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
776 9 0.115000 1.275000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
777 9 0.120000 1.275000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
778 9 0.125000 1.275000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
779 9 0.130000 1.275000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
780 9 0.075000 1.270000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
781 9 0.080000 1.270000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
782 9 0.085000 1.270000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
783 9 0.090000 1.270000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
784 9 0.095000 1.270000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
785 9 0.100000 1.270000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
786 9 0.105000 1.270000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
787 9 0.110000 1.270000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
788 9 0.115000 1.270000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
789 9 0.120000 1.270000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
790 9 0.125000 1.270000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
791 9 0.130000 1.270000 0.067000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
792 9 0.075000 1.265000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
793 9 0.080000 1.265000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
794 9 0.085000 1.265000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
795 9 0.090000 1.265000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
796 9 0.095000 1.265000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
797 9 0.100000 1.265000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
798 9 0.105000 1.265000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
799 9 0.110000 1.265000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
800 9 0.115000 1.265000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
801 9 0.120000 1.265000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
802 9 0.125000 1.265000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
803 9 0.130000 1.265000 0.066000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
804 9 0.075000 1.260000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
805 9 0.080000 1.260000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
806 9 0.085000 1.260000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
807 9 0.090000 1.260000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
808 9 0.095000 1.260000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
809 9 0.100000 1.260000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
810 9 0.105000 1.260000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
811 9 0.110000 1.260000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
812 9 0.115000 1.260000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
813 9 0.120000 1.260000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
814 9 0.125000 1.260000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
815 9 0.130000 1.260000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
816 9 0.075000 1.255000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
817 9 0.080000 1.255000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
818 9 0.085000 1.255000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
819 9 0.090000 1.255000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
820 9 0.095000 1.255000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
821 9 0.100000 1.255000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
822 9 0.105000 1.255000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
823 9 0.110000 1.255000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
824 9 0.115000 1.255000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
825 9 0.120000 1.255000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
826 9 0.125000 1.255000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
827 9 0.130000 1.255000 0.065000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
828 9 0.075000 1.250000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
829 9 0.080000 1.250000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
830 9 0.085000 1.250000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
831 9 0.090000 1.250000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
832 9 0.095000 1.250000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
833 9 0.100000 1.250000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
834 9 0.105000 1.250000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
835 9 0.110000 1.250000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
836 9 0.115000 1.250000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
837 9 0.120000 1.250000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
838 9 0.125000 1.250000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
839 9 0.130000 1.250000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
840 9 0.075000 1.245000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
841 9 0.080000 1.245000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
842 9 0.085000 1.245000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
843 9 0.090000 1.245000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
844 9 0.095000 1.245000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
845 9 0.100000 1.245000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
846 9 0.105000 1.245000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
847 9 0.110000 1.245000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
848 9 0.115000 1.245000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
849 9 0.120000 1.245000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
850 9 0.125000 1.245000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
851 9 0.130000 1.245000 0.064000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
852 9 0.075000 1.240000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
853 9 0.080000 1.240000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
854 9 0.085000 1.240000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
855 9 0.090000 1.240000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
856 9 0.095000 1.240000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
857 9 0.100000 1.240000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
858 9 0.105000 1.240000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
859 9 0.110000 1.240000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
860 9 0.115000 1.240000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
861 9 0.120000 1.240000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
862 9 0.125000 1.240000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
863 9 0.130000 1.240000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
864 9 0.075000 1.235000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
865 9 0.080000 1.235000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
866 9 0.085000 1.235000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
867 9 0.090000 1.235000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
868 9 0.095000 1.235000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
869 9 0.100000 1.235000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
870 9 0.105000 1.235000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
871 9 0.110000 1.235000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
872 9 0.115000 1.235000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
873 9 0.120000 1.235000 0.063000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
