#Event  L(segment)  X(mm)  Z(mm)  T(us) 
7 0 0.110000 1.595000 0.061000 
7 3 0.110000 1.595000 0.003000 
7 6 0.110000 1.595000 0.061000 
7 9 0.110000 1.595000 0.077000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
8 0 0.115000 1.595000 0.061000 
8 3 0.115000 1.595000 0.003000 
8 6 0.115000 1.595000 0.061000 
8 9 0.115000 1.595000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
9 0 0.120000 1.595000 0.061000 
9 6 0.120000 1.595000 0.061000 
9 9 0.120000 1.595000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
10 0 0.125000 1.595000 0.061000 
10 6 0.125000 1.595000 0.061000 
10 9 0.125000 1.595000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
11 0 0.130000 1.595000 0.061000 
11 6 0.130000 1.595000 0.061000 
11 9 0.130000 1.595000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
12 0 0.075000 1.590000 0.061000 
12 6 0.075000 1.590000 0.061000 
12 9 0.075000 1.590000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
13 0 0.080000 1.590000 0.061000 
13 6 0.080000 1.590000 0.061000 
13 9 0.080000 1.590000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
14 0 0.085000 1.590000 0.062000 
14 3 0.085000 1.590000 0.002000 
14 6 0.085000 1.590000 0.062000 
14 9 0.085000 1.590000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
15 0 0.090000 1.590000 0.061000 
15 3 0.090000 1.590000 0.002000 
15 6 0.090000 1.590000 0.061000 
15 9 0.090000 1.590000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
16 0 0.095000 1.590000 0.061000 
16 3 0.095000 1.590000 0.002000 
16 6 0.095000 1.590000 0.061000 
16 9 0.095000 1.590000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
17 0 0.100000 1.590000 0.061000 
17 3 0.100000 1.590000 0.002000 
17 6 0.100000 1.590000 0.061000 
17 9 0.100000 1.590000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
18 0 0.105000 1.590000 0.061000 
18 3 0.105000 1.590000 0.002000 
18 6 0.105000 1.590000 0.061000 
18 9 0.105000 1.590000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
19 0 0.110000 1.590000 0.061000 
19 3 0.110000 1.590000 0.002000 
19 6 0.110000 1.590000 0.061000 
19 9 0.110000 1.590000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
20 0 0.115000 1.590000 0.061000 
20 3 0.115000 1.590000 0.002000 
20 6 0.115000 1.590000 0.061000 
20 9 0.115000 1.590000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
21 0 0.120000 1.590000 0.062000 
21 3 0.120000 1.590000 0.002000 
21 6 0.120000 1.590000 0.062000 
21 9 0.120000 1.590000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
22 0 0.125000 1.590000 0.061000 
22 6 0.125000 1.590000 0.061000 
22 9 0.125000 1.590000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
23 0 0.130000 1.590000 0.061000 
23 6 0.130000 1.590000 0.061000 
23 9 0.130000 1.590000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
24 0 0.075000 1.585000 0.061000 
24 6 0.075000 1.585000 0.061000 
24 9 0.075000 1.585000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
25 0 0.080000 1.585000 0.061000 
25 6 0.080000 1.585000 0.061000 
25 9 0.080000 1.585000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
26 0 0.085000 1.585000 0.061000 
26 3 0.085000 1.585000 0.002000 
26 6 0.085000 1.585000 0.061000 
26 9 0.085000 1.585000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
27 0 0.090000 1.585000 0.062000 
27 3 0.090000 1.585000 0.002000 
27 6 0.090000 1.585000 0.062000 
27 9 0.090000 1.585000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
28 0 0.095000 1.585000 0.062000 
28 3 0.095000 1.585000 0.002000 
28 6 0.095000 1.585000 0.062000 
28 9 0.095000 1.585000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
29 0 0.100000 1.585000 0.062000 
29 3 0.100000 1.585000 0.002000 
29 6 0.100000 1.585000 0.062000 
29 9 0.100000 1.585000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
30 0 0.105000 1.585000 0.062000 
30 3 0.105000 1.585000 0.002000 
30 6 0.105000 1.585000 0.062000 
30 9 0.105000 1.585000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
31 0 0.110000 1.585000 0.062000 
31 3 0.110000 1.585000 0.002000 
31 6 0.110000 1.585000 0.062000 
31 9 0.110000 1.585000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
32 0 0.115000 1.585000 0.062000 
32 3 0.115000 1.585000 0.002000 
32 6 0.115000 1.585000 0.062000 
32 9 0.115000 1.585000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
33 0 0.120000 1.585000 0.061000 
33 3 0.120000 1.585000 0.002000 
33 6 0.120000 1.585000 0.061000 
33 9 0.120000 1.585000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
34 0 0.125000 1.585000 0.061000 
34 6 0.125000 1.585000 0.061000 
34 9 0.125000 1.585000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
35 0 0.130000 1.585000 0.061000 
35 6 0.130000 1.585000 0.061000 
35 9 0.130000 1.585000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
36 0 0.075000 1.580000 0.061000 
36 6 0.075000 1.580000 0.061000 
36 9 0.075000 1.580000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
37 0 0.080000 1.580000 0.061000 
37 6 0.080000 1.580000 0.061000 
37 9 0.080000 1.580000 0.075000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
38 0 0.085000 1.580000 0.061000 
38 3 0.085000 1.580000 0.002000 
38 6 0.085000 1.580000 0.061000 
38 9 0.085000 1.580000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
39 0 0.090000 1.580000 0.061000 
39 3 0.090000 1.580000 0.002000 
39 6 0.090000 1.580000 0.061000 
39 9 0.090000 1.580000 0.076000 
#Event  L(segment)  X(mm)  Z(mm)  T(us) 
40 0 0.095000 1.580000 0.061000 
40 3 0.095000 1.580000 0.002000 
40 6 0.095000 1.580000 0.061000 
